Bairros_SP,Bairros_Fortaleza,Bairros_RJ,Causa_Afastamento_1,Causa_Afastamento_2,Causa_Afastamento_3,Motivo_Desligamento,CBO_Ocupacao_2002,CNAE_2_0_Classe,CNAE_95_Classe,Distritos_SP,Vinculo_Ativo_31_12,Faixa_Etaria,Faixa_Hora_Contrat,Faixa_Remun_Dezem__SM_,Faixa_Remun_Media__SM_,Faixa_Tempo_Emprego,Escolaridade_apos_2005,Qtd_Hora_Contr,Idade,Ind_CEI_Vinculado,Ind_Simples,Mes_Admissao,Mes_Desligamento,Mun_Trab,Municipio,Nacionalidade,Natureza_Juridica,Ind_Portador_Defic,Qtd_Dias_Afastamento,Raca_Cor,Regioes_Adm_DF,Vl_Remun_Dezembro_Nom,Vl_Remun_Dezembro__SM_,Vl_Remun_Media_Nom,Vl_Remun_Media__SM_,CNAE_2_0_Subclasse,Sexo_Trabalhador,Tamanho_Estabelecimento,Tempo_Emprego,Tipo_Admissao,Tipo_Estab,Tipo_Estab_1,Tipo_Defic,Tipo_Vinculo,IBGE_Subsetor,Vl_Rem_Janeiro_SC,Vl_Rem_Fevereiro_SC,Vl_Rem_Marco_SC,Vl_Rem_Abril_SC,Vl_Rem_Maio_SC,Vl_Rem_Junho_SC,Vl_Rem_Julho_SC,Vl_Rem_Agosto_SC,Vl_Rem_Setembro_SC,Vl_Rem_Outubro_SC,Vl_Rem_Novembro_SC,Ano_Chegada_Brasil,Ind_Trab_Intermitente,Ind_Trab_Parcial,DIV_CNAE_20
"           {ñ class}","           {ñ class}","           {ñ class}",40,99,99,0,991305,45111,50105,"           {ñ class}",1,5,6,7,6,6,9,44,39,0,0,0,{ñ,110020,110020,10,2062,0,4,8,0,"0000004883,38","000004,43","0000005021,98","000004,55",4511101,1,6,"    48,3",0,1,"CNPJ                ",0,10,16,"000004883,38","000004883,38","000004883,38","000006331,66","000005100,27","000004881,48","000004883,38","000004883,38","000004883,38","000004883,37","000004883,38",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45307,50300,"           {ñ class}",1,5,6,4,3,2,9,44,36,0,1,8,{ñ,0,110030,10,2062,0,0,2,0,"0000002000,00","000001,81","0000001973,33","000001,78",4530705,1,4,"     4,8",1,1,"CNPJ                ",0,10,16,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000001866,67","000000020,00","000000020,00","000000020,00",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45307,50300,"           {ñ class}",1,7,6,5,4,6,7,44,53,0,1,0,{ñ,0,110030,10,2305,0,0,9,0,"0000002523,50","000002,29","0000002582,72","000002,34",4530703,2,6,"    57,7",0,1,"CNPJ                ",0,10,16,"000002393,08","000003224,47","000002663,70","000002523,50","000002523,50","000002523,50","000002523,50","000002523,50","000002523,50","000002523,50","000002523,50",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45200,50202,"           {ñ class}",1,3,6,3,2,2,7,44,21,0,1,9,{ñ,0,110018,10,2135,0,0,9,0,"0000001242,00","000001,12","0000001242,00","000001,12",4520002,2,2,"     3,9",2,1,"CNPJ                ",0,10,16,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000012,42","000000012,42","000000012,42",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,49213,60232,"           {ñ class}",1,7,6,5,4,7,2,44,51,0,0,0,{ñ,120040,120040,10,2062,0,0,8,0,"0000002323,61","000002,11","0000002382,51","000002,16",4921301,1,7,"    92,5",0,1,"CNPJ                ",0,10,20,"000002629,58","000002629,58","000000000,00","000000000,00","000000000,00","000000000,00","000000045,90","000001136,92","000002629,58","000002698,74","000002629,58",0,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",40,99,99,0,991305,45111,50105,"           {ñ class}",1,6,6,5,4,8,6,44,43,0,0,0,{ñ,120040,120040,10,2062,0,3,8,0,"0000002695,91","000002,45","0000002500,16","000002,26",4511101,1,6,"   161,5",0,1,"CNPJ                ",0,10,16,"000002478,12","000002810,27","000002254,41","000002977,93","000002933,82","000002122,99","000002586,72","000001895,25","000002085,64","000002466,92","000002694,02",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",40,40,99,0,991305,45111,50105,"           {ñ class}",1,6,6,6,5,8,6,44,48,0,0,0,{ñ,120040,120040,10,2062,0,22,8,0,"0000004016,36","000003,65","0000004276,25","000003,88",4511101,1,6,"   150,9",0,1,"CNPJ                ",0,10,16,"000004290,01","000003786,24","000004279,69","000005076,46","000003870,65","000004900,63","000004271,20","000003959,10","000004124,50","000004133,55","000004606,70",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,49302,60267,"           {ñ class}",1,5,6,6,4,6,7,44,39,0,0,0,{ñ,110010,110010,22,2135,0,0,8,0,"0000003461,75","000003,14","0000002564,76","000002,32",4930202,1,6,"    52,9",0,1,"CNPJ                ",0,10,20,"000002306,20","000002525,66","000002415,93","000002690,38","000002568,43","000002608,19","000002304,47","000002513,69","000002415,93","000002502,35","000002464,24",2004,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,47415,52442,"           {ñ class}",1,5,6,4,3,3,7,44,30,0,1,3,{ñ,110030,110030,10,2305,0,0,9,0,"0000002119,69","000001,92","0000001948,35","000001,76",4741500,1,5,"     9,9",2,1,"CNPJ                ",0,10,16,"000000000,00","000000000,00","000000000,00","000000000,00","000001952,22","000001751,09","000001954,79","000001960,23","000001948,86","000001952,22","000001947,75",0,0,0,47
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,47415,52442,"           {ñ class}",1,5,6,5,3,2,7,44,30,0,1,7,{ñ,110030,110030,10,2305,0,0,9,0,"0000002264,24","000002,05","0000002059,00","000001,86",4741500,1,5,"     5,9",2,1,"CNPJ                ",0,10,16,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000002088,25","000002094,05","000002081,93","000002085,50","000001740,03",0,0,0,47
