Bairros_SP,Bairros_Fortaleza,Bairros_RJ,Causa_Afastamento_1,Causa_Afastamento_2,Causa_Afastamento_3,Motivo_Desligamento,CBO_Ocupacao_2002,CNAE_2_0_Classe,CNAE_95_Classe,Distritos_SP,Vinculo_Ativo_31_12,Faixa_Etaria,Faixa_Hora_Contrat,Faixa_Remun_Dezem__SM_,Faixa_Remun_Media__SM_,Faixa_Tempo_Emprego,Escolaridade_apos_2005,Qtd_Hora_Contr,Idade,Ind_CEI_Vinculado,Ind_Simples,Mes_Admissao,Mes_Desligamento,Mun_Trab,Municipio,Nacionalidade,Natureza_Juridica,Ind_Portador_Defic,Qtd_Dias_Afastamento,Raca_Cor,Regioes_Adm_DF,Vl_Remun_Dezembro_Nom,Vl_Remun_Dezembro__SM_,Vl_Remun_Media_Nom,Vl_Remun_Media__SM_,CNAE_2_0_Subclasse,Sexo_Trabalhador,Tamanho_Estabelecimento,Tempo_Emprego,Tipo_Admissao,Tipo_Estab,Tipo_Estab_1,Tipo_Defic,Tipo_Vinculo,IBGE_Subsetor,Vl_Rem_Janeiro_SC,Vl_Rem_Fevereiro_SC,Vl_Rem_Marco_SC,Vl_Rem_Abril_SC,Vl_Rem_Maio_SC,Vl_Rem_Junho_SC,Vl_Rem_Julho_SC,Vl_Rem_Agosto_SC,Vl_Rem_Setembro_SC,Vl_Rem_Outubro_SC,Vl_Rem_Novembro_SC,Ano_Chegada_Brasil,Ind_Trab_Intermitente,Ind_Trab_Parcial,DIV_CNAE_20
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,517330,80111,74608,"           {ñ class}",1,4,5,4,3,1,1,36,28,0,0,12,{ñ,110020,110020,10,2062,0,0,8,0,"0000001996,21","000001,81","0000001996,21","000001,81",8011101,1,7,"     0,9",2,1,"CNPJ                ",0,10,19,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00",0,0,0,80
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,517330,80111,74608,"           {ñ class}",1,4,5,4,3,2,1,36,26,0,0,9,{ñ,110020,110020,10,2062,0,0,8,0,"0000001756,66","000001,59","0000001727,38","000001,56",8011101,1,7,"     3,9",2,1,"CNPJ                ",0,10,19,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000001639,54","000001756,66","000001756,66",0,0,0,80
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,517330,80111,74608,"           {ñ class}",1,6,5,4,3,1,1,36,48,0,0,12,{ñ,110020,110020,10,2062,0,0,8,0,"0000002070,73","000001,88","0000002070,73","000001,88",8011101,1,7,"     0,9",2,1,"CNPJ                ",0,10,19,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00",0,0,0,80
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,517330,80111,74608,"           {ñ class}",1,6,5,1,0,1,1,36,46,0,0,12,{ñ,110020,110020,10,2062,0,0,8,0,"0000000336,68","000000,30","0000000336,68","000000,30",8011101,1,7,"     0,1",2,1,"CNPJ                ",0,10,19,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00",0,0,0,80
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,411010,46184,51187,"           {ñ class}",1,3,6,2,1,1,1,44,19,0,1,12,{ñ,0,110020,45,2062,0,0,9,0,"0000000577,70","000000,52","0000000577,70","000000,52",4618499,1,4,"     0,4",2,1,"CNPJ                ",0,10,17,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00",2018,0,0,46
